franchise_id,franchise_name,leagues,first_year,last_year,years_in_existence,total_games_played,total_wins,total_losses,win_loss_percentage,num_playoff_appearances,num_division_titles,num_conference_titles,num_league_championships
1,Atlanta Hawks,NBA,1950.0,2025.0,76.0,6019.0,2967.0,3052.0,0.493,49.0,12.0,0.0,1.0
2,Boston Celtics,NBA/BAA,1947.0,2025.0,79.0,6196.0,3695.0,2501.0,0.596,62.0,35.0,11.0,18.0
3,Brooklyn Nets,NBA/ABA,1968.0,2025.0,58.0,4694.0,2054.0,2640.0,0.438,31.0,5.0,2.0,2.0
4,Charlotte Hornets,NBA,1989.0,2025.0,35.0,2795.0,1193.0,1602.0,0.427,10.0,0.0,0.0,0.0
5,Chicago Bulls,NBA,1967.0,2025.0,59.0,4762.0,2422.0,2340.0,0.509,36.0,9.0,6.0,6.0
6,Cleveland Cavaliers,NBA,1971.0,2025.0,55.0,4435.0,2096.0,2339.0,0.473,25.0,8.0,5.0,1.0
7,Dallas Mavericks,NBA,1981.0,2025.0,45.0,3625.0,1836.0,1789.0,0.506,25.0,5.0,3.0,1.0
8,Denver Nuggets,NBA/ABA,1968.0,2025.0,58.0,4695.0,2417.0,2278.0,0.515,40.0,13.0,1.0,1.0
9,Detroit Pistons,NBA/BAA,1949.0,2025.0,77.0,6080.0,2871.0,3209.0,0.472,43.0,11.0,5.0,3.0
10,Golden State Warriors,NBA/BAA,1947.0,2025.0,79.0,6185.0,3017.0,3168.0,0.488,38.0,12.0,7.0,7.0
11,Houston Rockets,NBA,1968.0,2025.0,58.0,4688.0,2421.0,2267.0,0.516,35.0,9.0,4.0,2.0
12,Indiana Pacers,NBA/ABA,1968.0,2025.0,58.0,4694.0,2407.0,2287.0,0.513,38.0,9.0,2.0,3.0
13,Los Angeles Clippers,NBA,1971.0,2025.0,55.0,4442.0,1893.0,2549.0,0.426,19.0,3.0,0.0,0.0
14,Los Angeles Lakers,NBA/BAA,1949.0,2025.0,77.0,6086.0,3600.0,2486.0,0.592,65.0,34.0,19.0,17.0
15,Memphis Grizzlies,NBA,1996.0,2025.0,30.0,2393.0,1046.0,1347.0,0.437,14.0,2.0,0.0,0.0
16,Miami Heat,NBA,1989.0,2025.0,37.0,2967.0,1558.0,1409.0,0.525,26.0,16.0,7.0,3.0
17,Milwaukee Bucks,NBA,1969.0,2025.0,57.0,4607.0,2437.0,2170.0,0.529,37.0,19.0,3.0,2.0
18,Minnesota Timberwolves,NBA,1990.0,2025.0,36.0,2876.0,1196.0,1680.0,0.416,13.0,1.0,0.0,0.0
19,New Orleans Pelicans,NBA,2003.0,2025.0,23.0,1850.0,852.0,998.0,0.461,9.0,1.0,0.0,0.0
20,New York Knicks,NBA/BAA,1947.0,2025.0,79.0,6187.0,3025.0,3162.0,0.489,46.0,8.0,4.0,2.0
21,Oklahoma City Thunder,NBA,1968.0,2025.0,58.0,4688.0,2538.0,2150.0,0.541,34.0,13.0,5.0,2.0
22,Orlando Magic,NBA,1990.0,2025.0,36.0,2885.0,1356.0,1529.0,0.47,18.0,8.0,2.0,0.0
23,Philadelphia 76ers,NBA,1950.0,2025.0,76.0,6023.0,3125.0,2898.0,0.519,54.0,12.0,5.0,3.0
24,Phoenix Suns,NBA,1969.0,2025.0,57.0,4607.0,2465.0,2142.0,0.535,33.0,8.0,3.0,0.0
25,Portland Trail Blazers,NBA,1971.0,2025.0,55.0,4444.0,2328.0,2116.0,0.524,37.0,6.0,3.0,1.0
26,Sacramento Kings,NBA/BAA,1949.0,2025.0,77.0,6087.0,2788.0,3299.0,0.458,30.0,6.0,0.0,1.0
27,San Antonio Spurs,NBA/ABA,1968.0,2025.0,58.0,4693.0,2717.0,1976.0,0.579,47.0,22.0,6.0,5.0
28,Toronto Raptors,NBA,1996.0,2025.0,30.0,2392.0,1126.0,1266.0,0.471,13.0,7.0,1.0,1.0
29,Utah Jazz,NBA,1975.0,2025.0,51.0,4114.0,2194.0,1920.0,0.533,31.0,11.0,2.0,0.0
30,Washington Wizards,NBA,1962.0,2025.0,64.0,5169.0,2290.0,2879.0,0.443,30.0,8.0,4.0,1.0
31,League Average,NBA,,,,,,,,,,,
32,Multiple Teams (player traded mid season),NBA,,,,,,,,,,,
