player_id,full_name,first_year,last_year,positions_played,height_in_inches,weight_in_pounds,birth_date,colleges_played_for
abdelal01,Alaa Abdelnaby,1991,1995,F-C,82,240.0,06/24/1968,Duke
abdulza01,Zaid Abdul-Aziz,1969,1978,C-F,81,235.0,04/07/1946,Iowa State
abdulka01,Kareem Abdul-Jabbar,1970,1989,C,86,225.0,04/16/1947,UCLA
abdulma02,Mahmoud Abdul-Rauf,1991,2001,G,73,162.0,03/09/1969,LSU
abdulta01,Tariq Abdul-Wahad,1998,2003,F,78,223.0,11/03/1974,Michigan San Jose State
abdursh01,Shareef Abdur-Rahim,1997,2008,F,81,225.0,12/11/1976,California
abernto01,Tom Abernethy,1977,1981,F,79,220.0,05/06/1954,Indiana
ablefo01,Forest Able,1957,1957,G,75,180.0,07/27/1932,Western Kentucky
abramjo01,John Abramovic,1947,1948,F,75,195.0,02/09/1919,Salem University
abrinal01,Álex Abrines,2017,2019,G-F,78,200.0,08/01/1993,
achiupr01,Precious Achiuwa,2021,2025,F,80,225.0,09/19/1999,Memphis
ackeral01,Alex Acker,2006,2009,G,77,185.0,01/21/1983,Pepperdine
ackerdo01,Don Ackerman,1954,1954,G,72,183.0,09/04/1930,Long Island University
acresma01,Mark Acres,1988,1993,F-C,83,220.0,11/15/1962,Oral Roberts
actonbu01,Bud Acton,1968,1968,F,78,210.0,01/11/1942,Hillsdale College
acyqu01,Quincy Acy,2013,2019,F-C,79,240.0,10/06/1990,Baylor
adamsal01,Alvan Adams,1976,1988,C-F,81,210.0,07/19/1954,Oklahoma
adamsdo01,Don Adams,1971,1977,F,78,210.0,11/27/1947,Northwestern
adamsge01,George Adams,1973,1975,F-G,77,210.0,05/15/1949,Gardner-Webb University
adamsha01,Hassan Adams,2007,2009,G,76,220.0,06/20/1984,Arizona
adamsja01,Jaylen Adams,2019,2021,G,72,225.0,05/04/1996,St. Bonaventure
adamsjo01,Jordan Adams,2015,2016,G,77,209.0,07/08/1994,UCLA
adamsmi01,Michael Adams,1986,1996,G,70,162.0,01/19/1963,Boston College
adamsst01,Steven Adams,2014,2025,C,83,265.0,07/20/1993,Pitt
addisra01,Rafael Addison,1987,1997,F-G,79,215.0,07/22/1964,Syracuse
adebaba01,Bam Adebayo,2018,2025,C-F,81,255.0,07/18/1997,Kentucky
adelde01,Deng Adel,2019,2019,F,79,200.0,02/01/1997,Louisville
adelmri01,Rick Adelman,1969,1975,G,73,175.0,06/16/1946,Loyola Marymount
adrieje01,Jeff Adrien,2011,2015,F,79,245.0,02/10/1986,UConn
afflaar01,Arron Afflalo,2008,2018,G-F,77,210.0,10/15/1985,UCLA
agbajoc01,Ochai Agbaji,2023,2025,G,77,215.0,04/20/2000,Kansas
agerma01,Maurice Ager,2007,2011,G,77,202.0,02/09/1984,Michigan State
aguirma01,Mark Aguirre,1982,1994,F-G,78,232.0,12/10/1959,DePaul
ahearbl01,Blake Ahearn,2008,2012,G,74,190.0,05/27/1984,Missouri State
aingeda01,Danny Ainge,1982,1995,G,77,185.0,03/17/1959,BYU
aitchma01,Matt Aitch,1968,1968,F,79,230.0,09/21/1944,Moberly Area Community College Michigan State
ajincal01,Alexis Ajinça,2009,2017,C-F,86,248.0,05/06/1988,
akinhe01,Henry Akin,1967,1969,C-F,82,225.0,07/31/1944,Morehead State University
akognjo01,Josh Akognon,2013,2013,G,71,185.0,02/10/1986,Washington State Cal State Fullerton
akoonde01,DeVaughn Akoon-Purcell,2019,2019,G,78,200.0,06/05/1993,Illinois State
alabiso01,Solomon Alabi,2011,2012,C,85,251.0,03/21/1988,Florida State
alarima01,Mark Alarie,1987,1991,F,80,217.0,12/11/1963,Duke
alcorga01,Gary Alcorn,1960,1961,C,81,225.0,10/08/1936,Fresno State
