team_id,team_name,leagues,first_year,last_year,years_in_existence,total_games_played,total_wins,total_losses,win_loss_percentage,num_playoff_appearances,num_division_titles,num_conference_titles,num_league_championships,franchise_id
1,Atlanta Hawks,NBA,1969.0,2025.0,57.0,4601.0,2269.0,2332.0,0.493,36.0,6.0,0.0,0.0,1
2,St. Louis Hawks,NBA,1956.0,1968.0,13.0,1005.0,553.0,452.0,0.55,12.0,6.0,0.0,1.0,1
3,Milwaukee Hawks,NBA,1952.0,1955.0,4.0,281.0,91.0,190.0,0.324,0.0,0.0,0.0,0.0,1
4,Tri-Cities Blackhawks,NBA,1950.0,1951.0,2.0,132.0,54.0,78.0,0.409,1.0,0.0,0.0,0.0,1
5,Boston Celtics,NBA/BAA,1947.0,2025.0,79.0,6196.0,3695.0,2501.0,0.596,62.0,35.0,11.0,18.0,2
6,Brooklyn Nets,NBA,2013.0,2025.0,13.0,1046.0,472.0,574.0,0.451,8.0,0.0,0.0,0.0,3
7,New Jersey Nets,NBA,1978.0,2012.0,35.0,2822.0,1186.0,1636.0,0.42,16.0,4.0,2.0,0.0,3
8,New York Nets,NBA,1977.0,1977.0,1.0,82.0,22.0,60.0,0.268,0.0,0.0,0.0,0.0,3
9,New York Nets,ABA,1969.0,1976.0,8.0,666.0,338.0,328.0,0.508,7.0,1.0,0.0,2.0,3
10,New Jersey Americans,ABA,1968.0,1968.0,1.0,78.0,36.0,42.0,0.462,0.0,0.0,0.0,0.0,3
11,Charlotte Hornets,NBA,2015.0,2025.0,11.0,875.0,358.0,517.0,0.409,1.0,0.0,0.0,0.0,4
12,Charlotte Bobcats,NBA,2005.0,2014.0,10.0,804.0,293.0,511.0,0.364,2.0,0.0,0.0,0.0,4
13,Charlotte Hornets,NBA,1989.0,2002.0,14.0,1116.0,542.0,574.0,0.486,7.0,0.0,0.0,0.0,4
14,Chicago Bulls,NBA,1967.0,2025.0,59.0,4762.0,2422.0,2340.0,0.509,36.0,9.0,6.0,6.0,5
15,Cleveland Cavaliers,NBA,1971.0,2025.0,55.0,4435.0,2096.0,2339.0,0.473,25.0,8.0,5.0,1.0,6
16,Dallas Mavericks,NBA,1981.0,2025.0,45.0,3625.0,1836.0,1789.0,0.506,25.0,5.0,3.0,1.0,7
17,Denver Nuggets,NBA,1977.0,2025.0,49.0,3951.0,2004.0,1947.0,0.507,31.0,10.0,1.0,1.0,8
18,Denver Nuggets,ABA,1975.0,1976.0,2.0,168.0,125.0,43.0,0.744,2.0,2.0,0.0,0.0,8
19,Denver Rockets,ABA,1968.0,1974.0,7.0,576.0,288.0,288.0,0.5,7.0,1.0,0.0,0.0,8
20,Detroit Pistons,NBA,1958.0,2025.0,68.0,5461.0,2558.0,2903.0,0.468,35.0,9.0,5.0,3.0,9
21,Fort Wayne Pistons,NBA/BAA,1949.0,1957.0,9.0,619.0,313.0,306.0,0.506,8.0,2.0,0.0,0.0,9
22,Golden State Warriors,NBA,1972.0,2025.0,54.0,4353.0,2129.0,2224.0,0.489,21.0,7.0,7.0,5.0,10
23,San Francisco Warriors,NBA,1963.0,1971.0,9.0,729.0,330.0,399.0,0.453,5.0,2.0,0.0,0.0,10
24,Philadelphia Warriors,NBA/BAA,1947.0,1962.0,16.0,1103.0,558.0,545.0,0.506,12.0,3.0,0.0,2.0,10
25,Houston Rockets,NBA,1972.0,2025.0,54.0,4360.0,2302.0,2058.0,0.528,34.0,9.0,4.0,2.0,11
26,San Diego Rockets,NBA,1968.0,1971.0,4.0,328.0,119.0,209.0,0.363,1.0,0.0,0.0,0.0,11
27,Indiana Pacers,NBA,1977.0,2025.0,49.0,3950.0,1980.0,1970.0,0.501,29.0,6.0,2.0,0.0,12
28,Indiana Pacers,ABA,1968.0,1976.0,9.0,744.0,427.0,317.0,0.574,9.0,3.0,0.0,3.0,12
29,Los Angeles Clippers,NBA,1985.0,2025.0,41.0,3294.0,1448.0,1846.0,0.44,16.0,3.0,0.0,0.0,13
30,San Diego Clippers,NBA,1979.0,1984.0,6.0,492.0,186.0,306.0,0.378,0.0,0.0,0.0,0.0,13
31,Buffalo Braves,NBA,1971.0,1978.0,8.0,656.0,259.0,397.0,0.395,3.0,0.0,0.0,0.0,13
32,Los Angeles Lakers,NBA,1961.0,2025.0,65.0,5247.0,3143.0,2104.0,0.599,54.0,30.0,19.0,12.0,14
33,Minneapolis Lakers,NBA/BAA,1949.0,1960.0,12.0,839.0,457.0,382.0,0.545,11.0,4.0,0.0,5.0,14
34,Memphis Grizzlies,NBA,2002.0,2025.0,24.0,1933.0,945.0,988.0,0.489,14.0,2.0,0.0,0.0,15
35,Vancouver Grizzlies,NBA,1996.0,2001.0,6.0,460.0,101.0,359.0,0.22,0.0,0.0,0.0,0.0,15
36,Miami Heat,NBA,1989.0,2025.0,37.0,2967.0,1558.0,1409.0,0.525,26.0,16.0,7.0,3.0,16
37,Milwaukee Bucks,NBA,1969.0,2025.0,57.0,4607.0,2437.0,2170.0,0.529,37.0,19.0,3.0,2.0,17
38,Minnesota Timberwolves,NBA,1990.0,2025.0,36.0,2876.0,1196.0,1680.0,0.416,13.0,1.0,0.0,0.0,18
39,New Orleans Pelicans,NBA,2014.0,2025.0,12.0,964.0,433.0,531.0,0.449,4.0,0.0,0.0,0.0,19
40,NO/Ok. City Hornets,NBA,2006.0,2007.0,2.0,164.0,77.0,87.0,0.47,0.0,0.0,0.0,0.0,19
41,New Orleans Hornets,NBA,2003.0,2013.0,9.0,722.0,342.0,380.0,0.474,5.0,1.0,0.0,0.0,19
42,New York Knicks,NBA/BAA,1947.0,2025.0,79.0,6187.0,3025.0,3162.0,0.489,46.0,8.0,4.0,2.0,20
43,Oklahoma City Thunder,NBA,2009.0,2025.0,17.0,1358.0,793.0,565.0,0.584,12.0,7.0,2.0,1.0,21
44,Seattle SuperSonics,NBA,1968.0,2008.0,41.0,3330.0,1745.0,1585.0,0.524,22.0,6.0,3.0,1.0,21
45,Orlando Magic,NBA,1990.0,2025.0,36.0,2885.0,1356.0,1529.0,0.47,18.0,8.0,2.0,0.0,22
46,Philadelphia 76ers,NBA,1964.0,2025.0,62.0,5010.0,2549.0,2461.0,0.509,40.0,9.0,5.0,2.0,23
47,Syracuse Nationals,NBA,1950.0,1963.0,14.0,1013.0,576.0,437.0,0.569,14.0,3.0,0.0,1.0,23
48,Phoenix Suns,NBA,1969.0,2025.0,57.0,4607.0,2465.0,2142.0,0.535,33.0,8.0,3.0,0.0,24
49,Portland Trail Blazers,NBA,1971.0,2025.0,55.0,4444.0,2328.0,2116.0,0.524,37.0,6.0,3.0,1.0,25
50,Sacramento Kings,NBA,1986.0,2025.0,40.0,3212.0,1382.0,1830.0,0.43,11.0,3.0,0.0,0.0,26
51,Kansas City Kings,NBA,1976.0,1985.0,10.0,820.0,381.0,439.0,0.465,4.0,1.0,0.0,0.0,26
52,Kansas City-Omaha Kings,NBA,1973.0,1975.0,3.0,246.0,113.0,133.0,0.459,1.0,0.0,0.0,0.0,26
53,Cincinnati Royals,NBA,1958.0,1972.0,15.0,1189.0,555.0,634.0,0.467,7.0,0.0,0.0,0.0,26
54,Rochester Royals,NBA/BAA,1949.0,1957.0,9.0,620.0,357.0,263.0,0.576,7.0,2.0,0.0,1.0,26
55,San Antonio Spurs,NBA,1977.0,2025.0,49.0,3949.0,2339.0,1610.0,0.592,39.0,22.0,6.0,5.0,27
56,San Antonio Spurs,ABA,1974.0,1976.0,3.0,252.0,146.0,106.0,0.579,3.0,0.0,0.0,0.0,27
57,Texas Chaparrals,ABA,1971.0,1971.0,1.0,84.0,30.0,54.0,0.357,1.0,0.0,0.0,0.0,27
58,Dallas Chaparrals,ABA,1968.0,1973.0,5.0,408.0,202.0,206.0,0.495,4.0,0.0,0.0,0.0,27
59,Toronto Raptors,NBA,1996.0,2025.0,30.0,2392.0,1126.0,1266.0,0.471,13.0,7.0,1.0,1.0,28
60,Utah Jazz,NBA,1980.0,2025.0,46.0,3704.0,2033.0,1671.0,0.549,31.0,11.0,2.0,0.0,29
61,New Orleans Jazz,NBA,1975.0,1979.0,5.0,410.0,161.0,249.0,0.393,0.0,0.0,0.0,0.0,29
62,Washington Wizards,NBA,1998.0,2025.0,28.0,2228.0,912.0,1316.0,0.409,9.0,1.0,0.0,0.0,30
63,Washington Bullets,NBA,1975.0,1997.0,23.0,1886.0,887.0,999.0,0.47,13.0,2.0,3.0,1.0,30
64,Capital Bullets,NBA,1974.0,1974.0,1.0,82.0,47.0,35.0,0.573,1.0,1.0,0.0,0.0,30
65,Baltimore Bullets,NBA,1964.0,1973.0,10.0,813.0,401.0,412.0,0.493,7.0,4.0,1.0,0.0,30
66,Chicago Zephyrs,NBA,1963.0,1963.0,1.0,80.0,25.0,55.0,0.313,0.0,0.0,0.0,0.0,30
